DS_DATA_CURTA,HR_HORA,HORA,MINUTOS,PERÍODO,DS_RODOVIA,DS_MUNICIPIO_OCORRENCIA,SG_UF_LOCAL_OCORRENCIA,REGIÃO_OCORRENCIA,DS_TIPO_ENQTO,DS_COMPLEMENTO,CARGA_PADRÃO,QTDE OCORRÊNCIAS,,,
11/01/24,11,0.458333333,660,Manhã,116,JACAREI,SP,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
12/01/24,20,0.833333333,1200,Noite,040,LAGOA GRANDE,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
12/01/24,2,0.083333333,120,Noite,040,CAPIM BRANCO,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
12/01/24,4,0.166666667,240,Noite,381,RIBEIRAO VERMELHO,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
12/01/24,17,0.708333333,1020,Tarde,277,PARANAGUA,PR,Sul,Furto,Saque de Carga,Saque de Carga,1,,,
12/01/24,1,0.041666667,60,Noite,369,MAMBORE,PR,Sul,Roubo,De Carga de Eletroeletrônicos,Eletroeletrônicos,1,,,
12/01/24,18,0.75,1080,Noite,116,SAO LOURENCO DA SERRA,SP,Sudeste,Roubo,Saque de Carga,Saque de Carga,1,,,
13/01/24,22,0.916666667,1320,Noite,381,NOVA ERA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
13/01/24,3,0.125,180,Noite,040,ITABIRITO,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
13/01/24,12,0.5,720,Tarde,381,JOAO MONLEVADE,MG,Sudeste,Roubo,de Carga de Bebidas,Bebidas,1,,,
13/01/24,0,0,0,Noite,381,EXTREMA,MG,Sudeste,Roubo,Saque de Carga,Saque de Carga,1,,,
13/01/24,15,0.625,900,Tarde,116,MIRACATU,SP,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
14/01/24,17,0.708333333,1020,Tarde,116,BOA NOVA,BA,Nordeste,Roubo,Saque de Carga,Saque de Carga,1,,,
14/01/24,23,0.958333333,1380,Noite,040,CAETANOPOLIS,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
14/01/24,17,0.708333333,1020,Tarde,251,CACHOEIRA DE PAJEU,MG,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
14/01/24,11,0.458333333,660,Manhã,381,SANTO ANTONIO DO AMPARO,MG,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
14/01/24,19,0.791666667,1140,Noite,116,CACHOEIRA DE PAJEU,MG,Sudeste,Roubo,Saque de Carga,Saque de Carga,1,,,
14/01/24,16,0.666666667,960,Tarde,267,BATAGUASSU,MS,Centro-Oeste,Furto,De Carga de Alimentos,Alimentos,1,,,
14/01/24,1,0.041666667,60,Noite,010,IRITUIA,PA,Norte,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
15/01/24,6,0.25,360,Manhã,116,BOA NOVA,BA,Nordeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
15/01/24,14,0.583333333,840,Tarde,101,IBIRAPITANGA,BA,Nordeste,Roubo,de Carga de Bebidas,Bebidas,1,,,
15/01/24,5,0.208333333,300,Noite,381,PERDOES,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
15/01/24,0,0,0,Noite,381,CAMANDUCAIA,MG,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
15/01/24,16,0.666666667,960,Tarde,101,SANTA RITA,PB,Nordeste,Roubo,De Carga de Eletroeletrônicos,Eletroeletrônicos,1,,,
15/01/24,1,0.041666667,60,Noite,376,ORTIGUEIRA,PR,Sul,Roubo,de Carga de Bebidas,Bebidas,1,,,
16/01/24,18,0.75,1080,Noite,116,JEQUIE,BA,Nordeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
16/01/24,0,0,0,Noite,Não Informado,MONTE ALEGRE DE MINAS,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
16/01/24,2,0.083333333,120,Noite,040,NOVA LIMA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
16/01/24,2,0.083333333,120,Noite,381,SABARA,MG,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
16/01/24,23,0.958333333,1380,Noite,381,ANTONIO DIAS,MG,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
16/01/24,21,0.875,1260,Noite,381,BARAO DE COCAIS,MG,Sudeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
16/01/24,18,0.75,1080,Noite,251,PEDRA AZUL,MG,Sudeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
16/01/24,20,0.833333333,1200,Noite,381,SAO GONCALO DO SAPUCAI,MG,Sudeste,Roubo,Saque de Carga,Saque de Carga,1,,,
16/01/24,23,0.958333333,1380,Noite,116,JUQUIA,SP,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
17/01/24,3,0.125,180,Noite,251,FRANCISCO SA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
17/01/24,4,0.166666667,240,Noite,365,MONTE ALEGRE DE MINAS,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
17/01/24,4,0.166666667,240,Noite,381,SABARA,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
17/01/24,23,0.958333333,1380,Noite,381,SAO GONCALO DO SAPUCAI,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
17/01/24,22,0.916666667,1320,Noite,Não Informado,PONTO DOS VOLANTES,MG,Sudeste,Furto,de Carga de Gado/Outros Animais,Gado/Outros Animais,1,,,
17/01/24,19,0.791666667,1140,Noite,116,MIRACATU,SP,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
18/01/24,4,0.166666667,240,Noite,153,HIDROLANDIA,GO,Centro-Oeste,Furto,de Carga de Bebidas,Bebidas,1,,,
18/01/24,1,0.041666667,60,Noite,153,PRATA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
18/01/24,21,0.875,1260,Noite,381,JOAO MONLEVADE,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
18/01/24,2,0.083333333,120,Noite,381,TRES CORACOES,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
